Transaction Date (value),Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Originator Account Number,Beneficiary Account Number,Originator Name,Beneficiary Name,Subject Type,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Transaction ID
2025-04-19,HKD,80000,C,Hang Seng Bank Ltd.,Ant Bank (Hong Kong) Limited,66666666605.0,111111111101,LUI SAN SAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,Ant Bank (Hong Kong) Limited,80000,9170dc2d-2e30-48b1-8f68-ab9cda7bdab5
2025-04-19,HKD,30000,C,,,222222222101.0,333333333101,CHEUNG TAK SHING,CHAN TAI MAN,Beneficiary,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,30000,125eef90-cb29-4065-941f-df28b88a75a2
2025-04-23,HKD,150000,C,Hang Seng Bank Ltd.,ZA Bank Limited,444444444101.0,111111111101,CHEUNG TAK SHING,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,ZA Bank Limited,150000,5bca14ab-eef5-44bf-8e8d-f8e1e91321fe
2025-04-01,HKD,110000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,66666666606.0,111-111111-102,TANG WING,CHUNG SIU,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,110000,3ef87a6f-a25f-4a96-9d46-571b0a3e7df8
2025-04-01,HKD,200000,C,Hang Seng Bank Ltd.,Bank of China (Hong Kong) Limited,66666666602.0,111-111111-102,TSANG SIU MING,CHUNG SIU,Beneficiary,CWTF,Default transaction,,Bank of China (Hong Kong) Limited,200000,01bd7599-6f93-4047-9783-6afe9f0dc772
2025-03-31,HKD,20000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,66666666606.0,111-111111-102,TANG WING,CHUNG SIU,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,20000,61ed179e-0a61-4d79-b0cb-9e1fba5bf812
2025-02-07,HKD,18000,C,,,,111111111104,,CHONG MAN,Beneficiary,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),,,18000,39542510-5123-4d75-9143-62fbc7476fed
2025-02-07,HKD,350,C,Hang Seng Bank Ltd.,HKT Payment Limited,66666666607.0,111111111104,ZHAO SUIMEN,CHONG MAN,Beneficiary,CWTF,Default transaction,,HKT Payment Limited,350,9fa519d9-77c9-4a32-bcae-2d18fdc2a248
2025-02-06,HKD,2000,C,,,222222222102.0,111111111104,YAN MEI MEI,CHONG MAN,Beneficiary,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,2000,4e102b1b-5e20-421c-8e69-5773d23e5102
2025-01-21,HKD,3000,C,Hang Seng Bank Ltd.,Alipay Financial Services (HK) Limited,222222222105.0,111111111104,HUANG JUAN,CHONG MAN,Beneficiary,CWTF,Default transaction,,Alipay Financial Services (HK) Limited,3000,95773fbd-71f4-44a6-9dbc-cdcd6565120b
2025-01-20,HKD,1000,C,,,,111111111104,,CHONG MAN,Beneficiary,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),,,1000,ffa353a0-e1e3-473a-9241-944a2cbe8824
2025-01-20,HKD,1000,C,,,,111111111104,,CHONG MAN,Beneficiary,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),,,1000,4860df78-02d6-49db-b7f4-8ac66eff5852
2025-03-07,HKD,20000,C,Hang Seng Bank Ltd.,Livi Bank Limited,66666666605.0,111111111103,LUI SAN SAN,CHIU YAN,Beneficiary,CWTF,Default transaction,,Livi Bank Limited,20000,6dfb619d-8d5d-4223-867c-d39d9d5cdfdd
2025-03-07,HKD,1000,C,,,,111111111103,,CHIU YAN,Beneficiary,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),,,1000,247f1ba8-be03-4953-a87a-f9aa6cdf404f
2025-03-06,HKD,1900,C,,,222222222102.0,111111111103,YAN MEI MEI,CHIU YAN,Beneficiary,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,1900,b510ec0d-b10f-4181-a3de-057f693d5f17
2025-03-06,HKD,1200,C,Hang Seng Bank Ltd.,Alipay Financial Services (HK) Limited,66666666603.0,111111111103,XIE PANGAN,CHIU YAN,Beneficiary,CWTF,Default transaction,,Alipay Financial Services (HK) Limited,1200,a9b89f6a-c489-4114-b76f-0e0545ec0898
