Index,Type,Case Number,Intelligence Number,Transaction_Fraud Payment,IR_Fraud Payment,GroundTruth_Fraud Payment,Transaction ID,Found in Source,Transaction_Located,Found in IR,IR_Can Be Located,GroundTruth_Can Be Located,IR_Suspect Number,GroundTruth_Suspect Number,Transaction_Transaction Date (value),Source_Transaction Date (value),IR_Transaction Date (value),GroundTruth_Transaction Date (value),Transaction_Originating Amount,Source_Originating Amount,IR_Originating Amount,GroundTruth_Originating Amount,Transaction_Originating Currency,Source_Originating Currency,IR_Originating Currency,GroundTruth_Originating Currency,Source_Cancel Amount Requested,GroundTruth_Cancel Amount Requested,Transaction_Originator Name,Source_Originator Name,IR_Originator Name,GroundTruth_Originator Name,Transaction_Originator Account Number,Source_Originator Account Number,IR_Originator Account Number,GroundTruth_Originator Account Number,Transaction_Originator Bank Raw,Source_Originator Bank Raw,IR_Originator Bank Raw,GroundTruth_Originator Bank Raw,Transaction_Beneficiary Name,Source_Beneficiary Name,IR_Beneficiary Name,GroundTruth_Beneficiary Name,Transaction_Beneficiary Account Number,Source_Beneficiary Account Number,IR_Beneficiary Account Number,GroundTruth_Beneficiary Account Number,Transaction_Beneficiary Bank Raw,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,GroundTruth_Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Source_Transaction Channel,IR_Transaction Channel,GroundTruth_Transaction Channel,Source Remarks,Remarks,Q1
50,ADCC,7,2,2,2,2,acee7754-75b4-444d-a9ed-f710c8fb1cd2,True,True,True,True,True,1,1,2024-08-24 00:00:00,2024-08-24,2024-08-24 00:00:00,2024-08-24 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,,HSBC,HSBC,HSBC,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,ATM,,,
51,ADCC,7,2,3,3,3,56c5d066-25a6-46bf-8210-f63fbfc37741,True,True,True,True,True,1,1,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,10000,10000,10000,10000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,The Hongkong and Shanghai Banking Corporation Limited,HSBC,HSBC,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
52,ADCC,7,2,4,4,4,1e485d99-8478-482d-86fa-5d73f54d3347,True,True,True,True,True,1,1,2024-08-24 00:00:00,2024-08-24,2024-08-24 00:00:00,2024-08-24 00:00:00,31000,31000,31000,31000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,222-222222-101,222-222222-101 ,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,ATM,,,
53,ADCC,7,2,5,5,5,c58f42ff-c525-4ae4-bc47-497948bed752,True,True,True,True,True,1,1,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,222-222222-101,222-222222-101 ,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
54,ADCC,7,2,6,6,6,ec6432d4-61cb-4f08-8b30-dec84c08498c,True,True,True,True,True,1,1,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,60000,60000,60000,60000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,222-222222-101,222-222222-101 ,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
55,ADCC,7,2,7,7,7,ed5b6314-0a34-4938-9d4d-538699aa09bc,True,True,True,True,True,1,1,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,30000,30000,30000,30000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,222-222222-101,222-222222-101 ,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,,,,
56,ADCC,7,2,8,8,8,1e9b06fb-f8eb-4b63-820a-25546c6bcb95,True,True,True,True,True,1,1,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,39000,39000,39000,39000,HKD,HKD,HKD,HKD,,,,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,,,,,,,,,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,,HSB,HASE,HSB,CCCS,CASH DEP VIA CDM/BCDM -  AC INPUT (TOUCH SCREEN),,cash,cash,,,
57,ADCC,7,2,9,9,9,f847cb22-e7dc-438a-884e-d4ce7e4f913d,True,True,True,True,True,2,2,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,444-4444444-101,444-4444444-101,444-4444444-101,444-4444444-101,,HSBC,HSBC,HSBC,CHUNG SIU,CHUNG SIU,CHUNG,CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,,HSB,HASE,HSB,CUTF,UNRELATED ELECTRONIC     TRANSFER CREDIT,,,,,,
58,ADCC,7,2,10,10,10,a4cd895d-9a5f-4c6d-9121-fed86198a1fb,True,True,True,True,True,2,2,2024-08-25 00:00:00,2024-08-25,2024-08-25 00:00:00,2024-08-25 00:00:00,50000,50000,50000,50000,HKD,HKD,HKD,HKD,,,CHEUNG TAK SHING,CHEUNG TAK SHING ,CHEUNG,CHEUNG TAK SHING ,222-222222-101,222-222222-101 ,222-222222-101,222-222222-101,,HSB,HASE,HSB,CHUNG SIU,CHUNG SIU,CHUNG,CHUNG SIU,111-111111-102,111-111111-102,111-111111-102,111-111111-102,,HSB,HASE,HSB,CUTF,UNRELATED ELECTRONIC     TRANSFER CREDIT,,,,,,
60,ADCC,8,1,1,1,1,9ccba1a1-5b79-4c26-adb5-321e79343bff,True,True,True,True,True,1,1,2024-10-07 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,192500,192500,192500,192500,HKD,HKD,HKD,HKD,,,YEUNG KAI,YEUNG KAI,YEUNG KAI,YEUNG KAI,66666666601,66666666601,66666666601,66666666601,Bank of China (Hong Kong) Limited,BOC,BOC,Bank of China (Hong Kong) Limited,CHAN TAI MAN,CHAN TAI MAN,CHAN,CHAN TAI MAN,111-111111-101,111-111111-101,111-111111-101,111-111111-101,Hang Seng Bank Ltd.,HSB,HASE,Hang Seng Bank Ltd.,CWTF,Default transaction,,,FPS,,,
