Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks
HSBC Referral,1,1,1,,,TRUE,TRUE,,1,,,6/10/2024,,,"40,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,2,1,1,,,TRUE,TRUE,,1,,,29/8/2024,,,"20,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,null,,,cash deposits via ATM,,
UAR,2,1,2,,,TRUE,TRUE,,2,,,30/8/2024,,,"20,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,null,,,cash deposits via ATM,,
Police Letter,2,2,3,,,TRUE,TRUE,,2,,,28/8/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,null,,,ATM,,
HSBC Referral,3,1,1,,,TRUE,TRUE,,1,,,10/7/2024,,,1,,,HKD,,,MISS YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFT,4,1,1,,,TRUE,TRUE,,1,,,7/8/2024,,,"5,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,4,2,2,,,TRUE,TRUE,,1,,,7/8/2024,,,"1,248.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,4,2,3,,,TRUE,TRUE,,1,,,7/8/2024,,,"2,010.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,4,3,4,,,TRUE,TRUE,,1,,,7/8/2024,,,"2,460.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,4,3,5,,,TRUE,TRUE,,1,,,7/8/2024,,,300,,,HKD,,,XIE PANGAN,,,666-66666-603,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
HSBC Referral,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,4,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,4,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,4,8,6,,,TRUE,TRUE,,1,,,7/8/2024,,,"2,430.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,ATM,,
UAR,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,4,11,7,,,TRUE,TRUE,,1,,,7/8/2024,,,"3,060.00",,,HKD,,,YAN,,,222-222222-102,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,
Police Letter,4,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,same as reported transaction 2+3 [which is wrong and corrected by me]
ODFT,4,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFT,4,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Letter,4,15,8,,,TRUE,TRUE,,1,,,6/8/2024,,,"336,000.00",,,HKD,,,TAN,,,222-222222-103,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,NET,,
Search Warrant,4,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search Warrant,4,17,9,,,TRUE,FALSE,,1,,,7/8/2024,,,"5,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,null,,"As 3 counts same amount HKD5,000 credit to CHAN on the same day, the transaction cannot be located."
Search Warrant,4,18,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,1,1,,,TRUE,TRUE,,1,,,12/11/2024,,,"25,500.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,2,2,,,TRUE,TRUE,,1,,,12/11/2024,,,"50,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,2,3,,,TRUE,TRUE,,1,,,12/11/2024,,,"56,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
UAR,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,4,4,,,TRUE,TRUE,,1,,,12/11/2024,,,"93,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,4,5,,,TRUE,TRUE,,1,,,12/11/2024,,,"90,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,5,6,,,TRUE,TRUE,,1,,,12/11/2024,,,"200,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,5,7,,,TRUE,TRUE,,1,,,12/11/2024,,,"100,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,6,8,,,TRUE,TRUE,,1,,,12/11/2024,,,"77,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,6,9,,,TRUE,TRUE,,1,,,12/11/2024,,,"50,000.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,6,10,,,TRUE,TRUE,,1,,,11/11/2024,,,"19,990.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
HSBC Referral,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other payments same as reported payments 1, 2, 4, 5, 6, and 7."
HSBC Referral,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,5,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAR,5,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,5,9,11,,,TRUE,TRUE,,1,,,12/11/2024,,,"16,500.00",,,HKD,,,CHAN,,,333-333333-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,same name HSBC account
Search Warrant,6,1,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC Referral,7,1,1,,,TRUE,FALSE,,null,,,25/8/2024,,,"20,000.00",,,HKD,,,YEUNG KAI,,,66666666601,,,HSBC,,,null,,,null,,,null,,,ATM,,
ADCC,7,2,2,,,TRUE,TRUE,,1,,,24/8/2024,,,"50,000.00",,,HKD,,,CHEUNG,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,3,,,TRUE,TRUE,,1,,,25/8/2024,,,"10,000.00",,,HKD,,,CHEUNG,,,444-4444444-101,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,4,,,TRUE,TRUE,,1,,,24/8/2024,,,"31,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,5,,,TRUE,TRUE,,1,,,25/8/2024,,,"50,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,6,,,TRUE,TRUE,,1,,,25/8/2024,,,"60,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,7,,,TRUE,TRUE,,1,,,25/8/2024,,,"30,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHAN,,,111-111111-101,,,HASE,,,null,,
ADCC,7,2,8,,,TRUE,TRUE,,1,,,25/8/2024,,,"39,000.00",,,HKD,,,CHEUNG,,,null,,,null,,,CHAN,,,111-111111-101,,,HASE,,,cash,,
ADCC,7,2,9,,,TRUE,TRUE,,2,,,25/8/2024,,,"50,000.00",,,HKD,,,CHEUNG,,,444-4444444-101,,,HSBC,,,CHUNG,,,111-111111-102,,,HASE,,,null,,
ADCC,7,2,10,,,TRUE,TRUE,,2,,,25/8/2024,,,"50,000.00",,,HKD,,,CHEUNG,,,222-222222-101,,,HASE,,,CHUNG,,,111-111111-102,,,HASE,,,null,,
Search Warrant,7,3,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCC,8,1,1,,,TRUE,TRUE,,1,,,7/10/2024,,,"192,500.00",,,HKD,,,YEUNG KAI,,,66666666601,,,BOC,,,CHAN,,,111-111111-101,,,HASE,,,null,,
UAR,8,2,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The branch manager refused to process the transfer for the customer because they were suspicious. There was no loss amount.
