Type,Case Number,Intelligence Number,IR_Fraud Payment,Ground_Truth_Fraud Payment,Found in Source,Found in IR,IR_Can Be Located,Ground_Truth_Can Be Located,IR_Suspect Number,Ground Truth_Suspect Number,Source_Transaction Date (value),IR_Transaction Date (value),Ground_Truth_Transaction Date (value),Source_Originating Amount,IR_Originating Amount,Ground_Truth_Originating Amount,Source_Originating Currency,IR_Originating Currency,Ground_Truth_Originating Currency,Source_Originator Name,IR_Originator Name,Ground_Truth_Originator Name,Source_Originator Account Number,IR_Originator Account Number,Ground_Truth_Originator Account Number,Source_Originator Bank Raw,IR_Originator Bank Raw,Ground_Truth_Originator Bank Raw,Source_Beneficiary Name,IR_Beneficiary Name,Ground_Truth_Beneficiary Name,Source_Beneficiary Account Number,IR_Beneficiary Account Number,Ground_Truth_Beneficiary Account Number,Source_Beneficiary Bank Raw,IR_Beneficiary Bank Raw,Ground_Truth_Beneficiary Bank Raw,Source_Transaction Channel,IR_Transaction Channel,Ground_Truth_Transaction Channel,Remarks,Case Number_from_csv,Fraud Payment,Located,Transaction Date (value),Originating Amount,Originating Currency,Originator Name,Originator Account Number,Originator Bank Raw,Beneficiary Name,Beneficiary Account Number,Beneficiary Bank Raw,Transaction Type Source,Transaction Code Description,Fraud Payment_from_csv
HSBC Referral,1,1,1,,,TRUE,TRUE,,1,,,6/10/2024,,,"40,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,1,1,TRUE,2024-10-06,40000,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CUTF,UNRELATED ELECTRONIC     TRANSFER CREDIT,
UAR,2,1,1,,,TRUE,TRUE,,1,,,29/8/2024,,,"20,000.00",,,HKD,,,null,,,null,,,null,,,CHAN,,,111-111111-101,,,null,,,cash deposits via ATM,,,2,1,TRUE,2024-08-29,20000,HKD,null,null,null,MR       CHAN TAI MAN,111-111111-101,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
UAR,2,1,2,,,TRUE,TRUE,,2,,,30/8/2024,,,"20,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,null,,,cash deposits via ATM,,,2,2,TRUE,2024-08-30,20000,HKD,null,null,null,MR   CHUNG SIU,111-111111-102,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
Police Letter,2,2,3,,,TRUE,TRUE,,2,,,28/8/2024,,,"50,000.00",,,HKD,,,null,,,null,,,null,,,CHUNG,,,111-111111-102,,,null,,,ATM,,,2,3,TRUE,2024-08-28,50000,HKD,null,null,null,MR    CHUNG SIU,111-111111-102,null,CCCS,ATM/CDM CASH CREDIT USINGACCOUNT INPUT,
HSBC Referral,3,1,1,,,TRUE,TRUE,,1,,,10/7/2024,,,1,,,HKD,,,MISS YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,3,1,TRUE,2024-07-10,1,HKD,MISS YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,Mr CHAN TAI MAN       AND OTHERS,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
UAR,3,2,1,,,TRUE,TRUE,,1,,,10/7/2024,,,1,,,HKD,,,MISS YEUNG KAI,,,66666666601,,,HSBC,,,CHAN,,,111-111111-101,,,HASE,,,null,,,3,1,TRUE,2024-07-10,1,HKD,MISS YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,Mr CHAN TAI MAN       AND OTHERS,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
ODFT,4,1,1,,,TRUE,TRUE,,1,,,7/8/2024,,,"5,000.00",,,HKD,,,YEUNG KAI,,,666-66666-601,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,4,1,TRUE,2024-08-07,5000,HKD,YEUNG KAI,666-66666-601,The Hongkong and Shanghai Banking Corporation Limited,MR      CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,4,2,2,,,TRUE,TRUE,,1,,,7/8/2024,,,"1,248.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,4,2,TRUE,2024-08-07,1248,HKD,TSANG SIU MING,666-66666-602,The Hongkong and Shanghai Banking Corporation Limited,MR      CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,4,2,3,,,TRUE,TRUE,,1,,,7/8/2024,,,"2,010.00",,,HKD,,,TSANG SIU MING,,,666-66666-602,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,4,3,TRUE,2024-08-07,2010,HKD,TSANG SIU MING,666-66666-602,The Hongkong and Shanghai Banking Corporation Limited,MR      CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
HSBC Referral,4,3,4,,,TRUE,TRUE,,1,,,7/8/2024,,,"2,460.00",,,HKD,,,XIE PANGAN,,,666-66666-603,,,The Hongkong and Shanghai Banking Corporation Limited,,,CHAN,,,111-111111-101,,,HASE,,,FPS,,,4,4,TRUE,2024-08-07,2460,HKD,XIE PANGAN,666-66666-603,The Hongkong and Shanghai Banking Corporation Limited,MR      CHAN TAI MAN,111-111111-101,Hang Seng Bank Ltd.,CWTF,Default transaction,
