Transaction Date (value),Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Originator Account Number,Beneficiary Account Number,Originator Name,Beneficiary Name,Subject Type,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Fraud Payment
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,1
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,2
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,3
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,4
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,5
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,6
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,7
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,8
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,9
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,10
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,11
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,12
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,13
2025-01-02,HKD,100000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,100000,14
2025-01-02,HKD,70000,C,Hang Seng Bank Ltd.,STANDARD CHARTERED BANK (HONG KONG) LIMITED,333-333333-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,STANDARD CHARTERED BANK (HONG KONG) LIMITED,70000,15
2025-01-04,HKD,40012,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,555-555555-101,111-111111-101,CHAN TAI MAN,CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,40012,16
