Transaction Date (value),Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Originator Account Number,Beneficiary Account Number,Originator Name,Beneficiary Name,Subject Type,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Fraud Payment 
2024-08-07,HKD,5000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,666-66666-601,111-111111-101,YEUNG KAI,MR      CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,5000,1
2024-08-07,HKD,1248,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,666-66666-602,111-111111-101,TSANG SIU MING,MR      CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,1248,2
2024-08-07,HKD,2010,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,666-66666-602,111-111111-101,TSANG SIU MING,MR      CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,2010,3
2024-08-07,HKD,2460,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,666-66666-603,111-111111-101,XIE PANGAN,MR      CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,2460,4
2024-08-07,HKD,300,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,666-66666-603,111-111111-101,XIE PANGAN,MR      CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited,300,5
2024-08-07,HKD,2430,C,,,222-222222-101,111-111111-101,"CHEUNG, TAK SHING",MR      CHAN TAI MAN,Beneficiary,CUTF,ATM TRANSFER UNRELATED   DEPOSIT,,,2430,6
2024-08-07,HKD,2430,D,,,222-222222-101,111-111111-101,,MR      CHAN TAI MAN,Originator,DUTF,UNRELATED ELECTRONIC     TRANSFER DEBIT,,,2430,6
2024-08-07,HKD,3060,C,,,222-222222-102,111-111111-101,"YAN, MEI MEI",MR      CHAN TAI MAN,Beneficiary,CUTF,Default transaction,,,3060,7
2024-08-07,HKD,3060,D,,,222-222222-102,111-111111-101,,MR    CHAN TAI MAN,Originator,DUTF,UNRELATED ELECTRONIC     TRANSFER DEBIT,,,3060,7
2024-08-06,HKD,336000,C,,,222-222222-103,111-111111-101,"TAN, FUNG",MR      CHAN TAI MAN,Beneficiary,CUTF,DCP UNRELATED ELECTRONIC TRANSFER CREDIT FROM PIB,,,336000,8
2024-08-06,HKD,336000,D,,,222-222222-103,111-111111-101,,MR      CHAN TAI MAN,Originator,DCPIUD,DCP UNRELATED ELECTRONIC TRANSFER DEBIT FROM PIB,,,336000,8
