Transaction Date (value),Originating Currency,Originating Amount,Debit Credit Indicator,Beneficiary Bank Raw,Originator Bank Raw,Originator Account Number,Beneficiary Account Number,Originator Name,Beneficiary Name,Subject Type,Transaction Type Source,Transaction Code Description,Sending Bank Account Number,Sending Bank Address,Converted Amount,Fraud Payment,Transaction ID
2024-11-12,HKD,25500,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,25500,1,1fd9e993-bbbb-44ca-ba74-56f5359e0e03
2024-11-12,HKD,50000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,50000,2,191ec06e-88eb-4ccd-bc9f-c426d9f4d1ab
2024-11-12,HKD,56000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,56000,3,bf09dff6-4fa6-4ad9-8767-2ecbac3572a5
2024-11-12,HKD,93000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,93000,4,d1fbfe47-51a4-4db9-83e6-17472b01cad7
2024-11-12,HKD,90000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,90000,5,1ba89dc3-a477-450d-a7f7-bd55469f5628
2024-11-12,HKD,200000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,200000,6,7b17ff77-05ab-4618-90b1-f5f41deac2a8
2024-11-12,HKD,100000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,100000,7,fe57572e-f967-4a0c-9a9d-3315d2ccaf93
2024-11-12,HKD,77000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,77000,8,c4ae19d2-61c0-443e-9dfe-c007ddaf6432
2024-11-12,HKD,50000,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,50000,9,ecd331fd-3f2b-48af-8102-36e9dd9ba457
2024-11-11,HKD,19990,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,19990,10,47bf0cc4-cbc9-4dde-ab99-3a8e4d40d5e7
2024-11-12,HKD,16500,C,Hang Seng Bank Ltd.,The Hongkong and Shanghai Banking Corporation Limited,333-333333-101,111-111111-101,CHAN TAI MAN,MR        CHAN TAI MAN,Beneficiary,CWTF,Default transaction,,The Hongkong and Shanghai Banking Corporation Limited    HK,16500,11,98d894e4-be10-4096-8afa-21d4d4259d2f
